market,strategy,regime,sizing,sl,tp,trail,cagr,sharpe,sortino,calmar,max_drawdown,total_return,trades,exposure,benchmark_return
india,fifty_two_week_high,none,equal_slot,0.15,0.25,0.15,10.80499648450941,0.717584281237676,0.9339898806839729,0.46918008492164276,-23.029529239958983,35.49079934141148,267.0,97.72423025435074,25.83157315193818
india,fifty_two_week_high,none,equal_slot,0.15,0.25,0.25,17.222653213240523,1.1810374726170285,1.612604768575056,1.1954731539655363,-14.406557902292322,60.06489255452645,244.0,97.96519410977241,25.83157315193818
india,fifty_two_week_high,none,equal_slot,0.25,none,none,20.57655224339232,1.160344539210866,1.5930492415471023,1.1682038221868858,-17.613837459350947,74.0058574234345,178.0,97.97858099062917,25.83157315193818
india,fifty_two_week_high,none,equal_slot,0.25,none,0.15,9.7886909137062,0.622719692853246,0.8164896609961637,0.40432994163607144,-24.209661233836563,31.84491705073329,232.0,97.77777777777779,25.83157315193818
india,fifty_two_week_high,none,equal_slot,0.25,none,0.25,19.779835302052895,1.1271936103700075,1.5309395318705543,1.1823258132032914,-16.72959778190338,70.6242164617369,181.0,98.03212851405621,25.83157315193818
india,fifty_two_week_high,none,equal_slot,0.25,0.25,none,20.624360064000324,1.3947978815645197,1.9295631104398832,1.2447369131129984,-16.569252383156428,74.21017560099163,236.0,98.01874163319945,25.83157315193818
india,fifty_two_week_high,none,equal_slot,0.25,0.25,0.15,11.767616951024994,0.7912860263342786,1.045564633824965,0.5320497258902416,-22.117513417256376,39.005080143793045,267.0,97.72423025435074,25.83157315193818
india,fifty_two_week_high,none,equal_slot,0.25,0.25,0.25,20.193487762235396,1.3654092840996024,1.8810196326335966,1.382674510547293,-14.604657573561813,72.37446629781392,234.0,97.91164658634537,25.83157315193818
india,fifty_two_week_high,none,atr_risk,0.25,0.25,none,20.701726280845545,1.4138613685098624,1.9589305083961979,1.2502860003767287,-16.557592642489656,74.54115513137045,236.0,98.01874163319945,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,none,none,none,15.99801014462885,1.0305832473306091,1.4302357117954834,1.0764085840464677,-14.8623955454616,55.16510399880181,128.0,72.44979919678715,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,none,none,0.15,9.631688933369652,0.7048041507581507,0.9356897761198387,0.5019011419509044,-19.190410477910046,31.287551248300115,167.0,72.46318607764391,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,none,none,0.25,16.519196811090954,1.0814024004105844,1.4714863515790317,1.099793522782793,-15.02027104987184,57.238041638377894,133.0,73.22623828647924,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,none,0.25,none,18.092787074481453,1.351538792519151,1.8609059368926963,1.5717143532908968,-11.511498279950363,63.607839745117815,175.0,72.5033467202142,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,none,0.25,0.15,10.073442085274609,0.8004759910031406,1.0776944612197736,0.5016998938599433,-20.078621121029684,32.8597934517028,193.0,71.83400267737616,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,none,0.25,0.25,19.20996329199829,1.4840561621500366,2.077542851898237,1.590870560392962,-12.07512651893767,68.23230167347536,175.0,72.46318607764391,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.08,none,none,18.447957787890857,1.2110250379968015,1.6993030198157182,1.2715206285644074,-14.508579234549474,65.068791138504,150.0,73.96251673360106,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.08,none,0.15,10.698095999679147,0.8052841196419603,1.0967358792959447,0.6026182175669761,-17.752692646551367,35.10420305562214,184.0,72.6372155287818,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.08,none,0.25,19.14374198782445,1.2238552692975933,1.7021621977681545,1.3895457263449384,-13.776978781533266,67.95580089269959,151.0,75.06024096385542,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.08,0.25,none,18.24239244112413,1.4533159890773357,2.0802868700225035,1.3527009394520422,-13.485902100810133,64.22217487304927,215.0,72.58366800535475,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.08,0.25,0.15,12.07334671993181,0.9608525754240321,1.3010947125505778,0.7622692846724762,-15.838689768431843,40.13371784991602,213.0,71.96787148594377,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.08,0.25,0.25,18.24239244112413,1.4533159890773357,2.0802868700225035,1.3527009394520422,-13.485902100810133,64.22217487304927,215.0,72.58366800535475,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.15,none,none,17.223733138604192,1.1217683306757267,1.5538065366800524,1.2091962378960552,-14.24395197306657,60.069257918802755,131.0,72.54350736278447,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.15,none,0.15,9.295660518415527,0.6757263459610836,0.8895536404272886,0.4803659900018838,-19.35120452299105,30.099879779275305,167.0,72.46318607764391,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.15,none,0.25,16.62302228248569,1.0916302612276771,1.4886865907121953,1.0557857028610764,-15.74469348982366,57.65316921907255,135.0,73.42704149933066,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.15,0.25,none,18.4072365637868,1.4472157771832035,2.034289827427689,1.486941033574965,-12.379264643421239,64.9008526838073,176.0,72.59705488621151,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.15,0.25,0.15,9.158322777358396,0.712777447576724,0.9368650743959717,0.4289588588547046,-21.350119220781664,29.61652373416492,193.0,71.83400267737616,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.15,0.25,0.25,17.059486288796233,1.3399110936085545,1.8695842990166782,1.2369901754694592,-13.791125125405191,59.40623102724598,175.0,72.58366800535475,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.25,none,none,16.75301753085543,1.092237017962725,1.5054211572917435,1.1473562821956946,-14.601408290365741,58.17395434879058,128.0,72.28915662650603,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.25,none,0.15,9.349806030479124,0.6825990564359722,0.90340464167854,0.48402561840537905,-19.316758607286186,30.290770840690364,167.0,72.46318607764391,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.25,none,0.25,16.519196811090954,1.0814024004105844,1.4714863515790317,1.099793522782793,-15.02027104987184,57.238041638377894,133.0,73.22623828647924,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.25,0.25,none,20.064079666464842,1.5515596297295535,2.187280546099918,1.5715192742269866,-12.767313767967718,71.82564199507098,176.0,72.31593038821956,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.25,0.25,0.15,10.073442085274609,0.8004759910031406,1.0776944612197736,0.5016998938599433,-20.078621121029684,32.8597934517028,193.0,71.83400267737616,25.83157315193818
india,fifty_two_week_high,bull,equal_slot,0.25,0.25,0.25,19.045556829866793,1.4641377127133421,2.042362391030185,1.5710460422319723,-12.12285083816444,67.54639220301428,175.0,72.46318607764391,25.83157315193818
