Total Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Winning Trades,Losing Trades,market,strategy,years,top,hold,status
-3.53%,-3.57%,+7.43%,-0.452,-0.566,-0.501,+32.21%,-7.13%,+48.33%,-3.34%,+0.142,-0.54%,240,97,-0.21%,-0.32%,+17.77%,-60.62%,+0.837,116,124,india,turn_of_month,1,20,20,ok
+35.09%,+6.24%,+18.53%,+0.419,+0.608,+0.195,+82.53%,-31.98%,+33.33%,-2.69%,+0.752,+85.82%,93,83,-5.33%,+3.99%,+245.97%,-33.76%,+1.545,31,62,us,golden_cross_50_200,5,10,500,ok
+44.20%,+13.11%,+19.38%,+0.732,+1.069,+0.530,+89.65%,-24.71%,+44.90%,-4.09%,+0.884,+79.06%,49,49,-1.50%,+9.33%,+189.84%,-35.96%,+2.691,22,27,us,golden_cross_50_200,3,10,500,ok
+49.67%,+22.59%,+18.20%,+1.210,+1.787,+1.231,+95.56%,-18.34%,+58.06%,+5.91%,+0.763,+48.39%,31,31,+1.10%,+17.54%,+162.38%,-33.76%,+4.097,18,13,us,golden_cross_50_200,2,10,500,ok
+40.23%,+40.61%,+22.67%,+1.617,+2.559,+2.625,+94.76%,-15.47%,+52.63%,+16.52%,+0.988,+22.91%,19,19,+3.65%,+20.82%,+305.85%,-23.79%,+4.982,10,9,us,golden_cross_50_200,1,10,500,ok
+74.39%,+11.84%,+21.46%,+0.629,+0.892,+0.504,+91.83%,-23.48%,+38.55%,+4.20%,+0.673,+85.82%,332,192,-1.74%,+2.54%,+183.60%,-36.80%,+1.620,128,200,us,fifty_two_week_high,5,10,500,ok
+74.08%,+20.50%,+23.25%,+0.919,+1.320,+1.030,+94.16%,-19.91%,+37.11%,+5.93%,+0.751,+79.06%,194,128,-2.31%,+4.05%,+183.60%,-36.80%,+1.942,72,122,us,fifty_two_week_high,3,10,500,ok
+73.12%,+31.94%,+26.23%,+1.189,+1.711,+1.409,+95.01%,-22.66%,+36.92%,+17.77%,+0.695,+48.39%,130,93,-2.01%,+5.90%,+183.60%,-36.80%,+2.319,48,82,us,fifty_two_week_high,2,10,500,ok
+67.69%,+68.38%,+32.23%,+1.780,+2.647,+3.797,+95.87%,-18.01%,+42.19%,+32.33%,+1.357,+22.91%,64,50,-1.07%,+10.71%,+108.68%,-20.70%,+4.539,27,37,us,fifty_two_week_high,1,10,500,ok
+62.60%,+10.28%,+17.73%,+0.641,+0.905,+0.389,+92.23%,-26.45%,+38.18%,+0.14%,+0.804,+85.82%,55,50,-6.55%,+20.20%,+546.26%,-37.71%,+2.642,21,34,us,bll_trading_range_break,5,10,500,ok
+145.77%,+35.33%,+26.60%,+1.271,+1.862,+0.871,+98.48%,-40.57%,+54.84%,+13.83%,+1.003,+79.06%,31,30,+2.01%,+46.52%,+1023.37%,-41.55%,+8.231,17,14,us,bll_trading_range_break,3,10,500,ok
+35.71%,+16.67%,+16.77%,+1.004,+1.433,+1.111,+91.66%,-15.01%,+59.09%,+4.33%,+0.591,+48.39%,22,21,+6.21%,+16.07%,+143.39%,-27.94%,+4.849,13,9,us,bll_trading_range_break,2,10,500,ok
+74.54%,+75.32%,+29.32%,+2.063,+3.159,+4.109,+97.95%,-18.33%,+71.43%,+30.73%,+1.558,+22.91%,14,14,+30.37%,+55.50%,+232.04%,-17.74%,+14.044,10,4,us,bll_trading_range_break,1,10,500,ok
+22.68%,+4.20%,+18.61%,+0.314,+0.433,+0.132,+75.74%,-31.84%,+33.48%,-3.61%,+0.683,+85.82%,230,142,-4.53%,+1.27%,+150.28%,-39.97%,+1.167,77,149,us,keltner_breakout,5,10,100,ok
+37.70%,+11.36%,+18.00%,+0.688,+0.968,+0.466,+88.03%,-24.40%,+36.43%,-1.73%,+0.680,+79.06%,140,102,-3.47%,+2.78%,+196.93%,-39.97%,+1.475,51,89,us,keltner_breakout,3,10,100,ok
+42.60%,+19.63%,+22.96%,+0.896,+1.247,+0.877,+89.27%,-22.38%,+36.17%,+5.17%,+0.728,+48.39%,94,82,-1.85%,+4.57%,+196.93%,-38.29%,+1.729,34,60,us,keltner_breakout,2,10,100,ok
+71.88%,+72.63%,+26.66%,+2.183,+3.350,+4.463,+98.40%,-16.27%,+36.54%,+33.21%,+1.365,+22.91%,52,47,-4.02%,+13.80%,+402.90%,-35.19%,+3.015,19,33,us,keltner_breakout,1,10,100,ok
+41.36%,+7.22%,+23.05%,+0.418,+0.585,+0.230,+82.32%,-31.41%,+36.03%,-1.49%,+0.798,+85.82%,705,216,-1.35%,+0.61%,+132.59%,-40.94%,+1.202,254,438,us,adx_trend,5,10,250,ok
+40.18%,+12.03%,+22.84%,+0.612,+0.858,+0.435,+85.26%,-27.68%,+38.53%,-2.73%,+0.806,+79.06%,423,156,-1.30%,+0.92%,+132.59%,-40.94%,+1.310,163,260,us,adx_trend,3,10,250,ok
+37.61%,+17.49%,+24.89%,+0.773,+1.084,+0.620,+85.87%,-28.21%,+39.65%,+3.45%,+0.743,+48.39%,285,118,-1.23%,+1.24%,+132.59%,-40.94%,+1.420,113,172,us,adx_trend,2,10,250,ok
+38.05%,+38.41%,+28.51%,+1.284,+1.861,+2.572,+89.55%,-14.93%,+39.86%,+9.83%,+1.259,+22.91%,138,73,-1.33%,+2.79%,+132.59%,-23.17%,+1.790,55,83,us,adx_trend,1,10,250,ok
+130.35%,+18.29%,+19.08%,+0.975,+1.521,+0.691,+98.67%,-26.45%,+76.67%,+12.04%,+0.519,+85.82%,30,21,+16.49%,+43.45%,+488.84%,-68.12%,+7.578,23,7,us,long_term_reversal,5,10,250,ok
+43.32%,+12.87%,+13.55%,+0.961,+1.507,+1.059,+95.29%,-12.15%,+90.00%,+9.10%,+0.208,+79.06%,10,10,+24.57%,+43.32%,+127.39%,-3.97%,+110.016,9,1,us,long_term_reversal,3,10,250,ok
+0.00%,+0.00%,+0.00%,+0.000,+0.000,+0.000,+50.00%,+0.00%,+0.00%,+0.00%,+0.000,+48.39%,0,0,+0.00%,+0.00%,+0.00%,+0.00%,+0.000,0,0,us,long_term_reversal,2,10,250,ok
+0.00%,+0.00%,+0.00%,+0.000,+0.000,+0.000,+50.00%,+0.00%,+0.00%,+0.00%,+0.000,+22.91%,0,0,+0.00%,+0.00%,+0.00%,+0.00%,+0.000,0,0,us,long_term_reversal,1,10,250,ok
+43.29%,+7.51%,+17.30%,+0.505,+0.720,+0.238,+86.92%,-31.58%,+39.00%,-2.20%,+0.786,+85.82%,"1,300",330,-1.10%,+0.48%,+133.35%,-82.70%,+1.156,507,770,us,macd_signal_cross,5,15,60,ok
+41.38%,+12.36%,+14.04%,+0.900,+1.302,+0.702,+93.79%,-17.59%,+39.48%,-0.00%,+0.608,+79.06%,808,257,-1.21%,+0.65%,+133.35%,-37.97%,+1.243,319,489,us,macd_signal_cross,3,15,60,ok
