market,strategy,years,kind,regime,sl,tp,trail,cagr,sharpe,sortino,calmar,max_drawdown,total_return,trades,exposure,benchmark_return
india,macd_signal_cross,5,baseline,"bull,pullback",none,none,none,-6.97089806763449,-0.300953995290698,-0.38659546557924723,-0.13627814845931868,-51.15198692118583,-29.981770301609632,1417.0,98.53161843515541,49.542295567743366
india,macd_signal_cross,2,tuned,"bull,pullback",0.15,0.25,none,-19.754737314755133,-1.5229863159168864,-1.904847763670463,-0.48021919919216094,-41.13691694956624,-35.38163599123615,458.0,69.76713240186292,0.5121780917566765
india,macd_signal_cross,2,baseline,"bull,pullback",none,none,none,-23.840298218710654,-1.3765682481739512,-1.7475331486751073,-0.47339008388455556,-50.36078918907927,-41.74571893625468,584.0,98.77578176979375,0.5121780917566765
india,macd_signal_cross,1,tuned,"bull,pullback",0.15,0.25,none,-18.218824683025623,-1.553814266107507,-1.8993079405562794,-0.856108372482946,-21.28097945145204,-18.15352845733643,211.0,64.97354497354497,-0.46105255022869107
india,macd_signal_cross,1,baseline,"bull,pullback",none,none,none,-23.78157197324928,-1.5532521457145179,-1.9129998750604191,-0.760728735483084,-31.26156652692674,-23.699391179015763,290.0,98.70370370370371,-0.46105255022869107
india,stochastic_cross,5,tuned,none,none,0.25,none,3.7587353806526336,0.3089969243880999,0.43127836063931263,0.15402144144142585,-24.403974832829206,19.961619495652982,1096.0,98.64951768488746,49.542295567743366
india,stochastic_cross,5,baseline,none,none,none,none,-0.43552508029458536,0.06394243328639006,0.0874683425399639,-0.014770885474079398,-29.485373849717,-2.129926192176046,1094.0,98.62808145766346,49.542295567743366
india,stochastic_cross,2,tuned,none,none,0.25,none,-6.558329202798285,-0.26960380897682124,-0.38668646486730457,-0.21189717136484623,-30.950527373987935,-12.592479605015328,433.0,98.42980705256153,0.5121780917566765
india,stochastic_cross,2,baseline,none,none,none,none,-6.781175146898333,-0.2810377851922113,-0.40311695417908666,-0.2190972407338527,-30.950527373987935,-13.005596018027177,433.0,98.42980705256153,0.5121780917566765
india,stochastic_cross,1,tuned,none,none,0.25,none,-4.841064550765939,-0.16936315176473946,-0.25900925303265565,-0.19042720231782945,-25.422127153273188,-4.822324821012691,217.0,97.6984126984127,-0.46105255022869107
india,stochastic_cross,1,baseline,none,none,none,none,-5.255741591834495,-0.190877478909386,-0.2917100075770349,-0.2067388602120889,-25.422127153273188,-5.2354412340245515,217.0,97.6984126984127,-0.46105255022869107
india,connors_rsi2,5,tuned,none,0.25,0.25,none,-11.793120047844186,-0.5824216671600748,-0.7941961754377824,-0.1921995415487342,-61.35873141431982,-46.14962600097087,4405.0,87.524115755627,49.542295567743366
india,connors_rsi2,5,baseline,none,none,none,none,-11.014763452809518,-0.5380354467896061,-0.7423640113484238,-0.18373995922943456,-59.94756665345437,-43.76472505641888,4379.0,87.54019292604502,49.542295567743366
india,connors_rsi2,2,tuned,none,0.25,0.25,none,-15.08280777035086,-0.6670118588487403,-1.0386018575797609,-0.3231201846004557,-46.678630705169475,-27.703328129354997,1702.0,88.40319361277444,0.5121780917566765
india,connors_rsi2,2,baseline,none,none,none,none,-15.388788979314604,-0.6829014089789293,-1.065717335260205,-0.3253212202386671,-47.3033667094475,-28.21928829851956,1693.0,88.43313373253491,0.5121780917566765
india,connors_rsi2,1,tuned,none,0.25,0.25,none,-5.701973232736868,-0.1897835400578167,-0.31272454528330146,-0.19172173823524358,-29.740880117311043,-5.680001507678112,897.0,89.46428571428571,-0.46105255022869107
india,connors_rsi2,1,baseline,none,none,none,none,-5.264748032985844,-0.1680411932734354,-0.2798521157142082,-0.17889072230698105,-29.429966881968323,-5.244413859127817,894.0,89.50396825396825,-0.46105255022869107
india,connors_rsi2_bull,5,tuned,none,none,none,none,1.0379305171992925,0.14967015350917115,0.30334149674685695,0.026614216118909455,-38.999101553918806,5.225182991209376,3633.0,70.66318327974277,49.542295567743366
india,connors_rsi2_bull,5,baseline,none,none,none,none,1.0379305171992925,0.14967015350917115,0.30334149674685695,0.026614216118909455,-38.999101553918806,5.225182991209376,3633.0,70.66318327974277,49.542295567743366
india,connors_rsi2_bull,2,tuned,none,none,none,none,5.330414099747838,0.2933014532036949,0.8586794297806345,0.17481355030401932,-30.491996132323163,10.85354511586425,1374.0,69.01197604790418,0.5121780917566765
india,connors_rsi2_bull,2,baseline,none,none,none,none,5.330414099747838,0.2933014532036949,0.8586794297806345,0.17481355030401932,-30.491996132323163,10.85354511586425,1374.0,69.01197604790418,0.5121780917566765
india,connors_rsi2_bull,1,tuned,none,none,none,none,35.98353483138943,0.9880531259090314,3.9877457877937283,3.423320661930558,-10.511295430646793,35.81777723971924,726.0,67.85714285714286,-0.46105255022869107
india,connors_rsi2_bull,1,baseline,none,none,none,none,35.98353483138943,0.9880531259090314,3.9877457877937283,3.423320661930558,-10.511295430646793,35.81777723971924,726.0,67.85714285714286,-0.46105255022869107
india,bollinger_mean_reversion,5,tuned,none,0.25,0.25,none,-2.245254540676278,-0.054872403690777276,-0.07474554296675731,-0.06509313686573102,-34.49295346309108,-10.59649406895119,1718.0,90.65916398713826,49.542295567743366
india,bollinger_mean_reversion,5,baseline,none,none,none,none,-2.9688905746391825,-0.09860126784500732,-0.13435721494125322,-0.08017212461664122,-37.03145686652957,-13.813752274854775,1696.0,90.68327974276528,49.542295567743366
india,bollinger_mean_reversion,2,tuned,none,0.25,0.25,none,-8.267728236527372,-0.39216939073633045,-0.5417482811914047,-0.22807093998180225,-36.25068690113283,-15.736560077723416,673.0,92.73453093812375,0.5121780917566765
india,bollinger_mean_reversion,2,baseline,none,none,none,none,-7.2980698868896905,-0.3324341198639025,-0.4623850178331232,-0.20877440807146258,-34.95672651789578,-13.960088812909143,665.0,92.41516966067864,0.5121780917566765
india,bollinger_mean_reversion,1,tuned,none,0.25,0.25,none,-3.380414097457607,-0.10892845766866552,-0.15178826884539517,-0.11793765904368769,-28.66271999010425,-3.3672281851577113,344.0,92.20238095238095,-0.46105255022869107
india,bollinger_mean_reversion,1,baseline,none,none,none,none,-2.305830481827853,-0.047609326358134745,-0.06680304596774768,-0.08370976265190967,-27.545538402924265,-2.296786255700356,340.0,92.04365079365078,-0.46105255022869107
india,williams_percent_r,5,tuned,none,0.15,none,none,0.34625292865033686,0.10740885624118483,0.14963544199297654,0.010769743614303263,-32.150526609610225,1.7195736151883523,1774.0,99.20819935691318,49.542295567743366
india,williams_percent_r,5,baseline,none,none,none,none,0.13714622626064266,0.09590390842761458,0.1340572353852177,0.0038991015788619725,-35.17380183274717,0.678305888289521,1667.0,99.0192926045016,49.542295567743366
india,williams_percent_r,2,tuned,none,0.15,none,none,-7.510585646204671,-0.28752227274097264,-0.4261756340399778,-0.19649050365069276,-38.22365715727652,-14.351003149863551,698.0,99.25149700598803,0.5121780917566765
india,williams_percent_r,2,baseline,none,none,none,none,-4.878837631094579,-0.15694508085872894,-0.2347295390895905,-0.13881729422790728,-35.14574792881791,-9.447779488771568,654.0,99.061876247505,0.5121780917566765
india,williams_percent_r,1,tuned,none,0.15,none,none,3.117153195910216,0.25476584111018286,0.4153280113024547,0.11942620614367415,-26.10108196990002,3.1045934873082714,348.0,99.1468253968254,-0.46105255022869107
india,williams_percent_r,1,baseline,none,none,none,none,3.6916578303658243,0.28139378045058067,0.45351569821029797,0.13613126595252897,-27.118368469835293,3.6767423312356273,334.0,99.12698412698413,-0.46105255022869107
india,cci_reversion,5,tuned,none,none,none,0.25,6.054440510590275,0.46910116678368385,0.6591426510156869,0.29989749532714616,-20.18836637493664,33.63557945570772,1343.0,98.4887459807074,49.542295567743366
india,cci_reversion,5,baseline,none,none,none,none,3.8457541222186142,0.32462614984683613,0.4502838830788458,0.16629896861409468,-23.125544038357116,20.458689094436245,1327.0,98.40434083601286,49.542295567743366
india,cci_reversion,2,tuned,none,none,none,0.25,-8.156729815172259,-0.39459620299554204,-0.5341527512187483,-0.2687549174934406,-30.350067233174766,-15.534136169416147,542.0,98.82235528942115,0.5121780917566765
india,cci_reversion,2,baseline,none,none,none,none,-2.5354350378652857,-0.06016055579835247,-0.08331688841162341,-0.10251808158604915,-24.73158879526197,-4.967854773010627,533.0,98.89221556886227,0.5121780917566765
india,cci_reversion,1,tuned,none,none,none,0.25,2.6527128076370143,0.2399468039399744,0.3417689258561212,0.12412230983363211,-21.371764763261254,2.6420483212325596,273.0,97.65873015873015,-0.46105255022869107
india,cci_reversion,1,baseline,none,none,none,none,4.1577459101607595,0.3276096361970393,0.46567490333725875,0.2138448305262659,-19.442817017968906,4.140909943370663,272.0,97.81746031746032,-0.46105255022869107
india,short_term_reversal,5,tuned,none,none,none,none,12.561488138401543,0.739853560596707,1.034075279428202,0.42984226179130625,-29.223483251863918,79.25957261645908,1180.0,99.89147909967846,49.542295567743366
india,short_term_reversal,5,baseline,none,none,none,none,12.561488138401543,0.739853560596707,1.034075279428202,0.42984226179130625,-29.223483251863918,79.25957261645908,1180.0,99.89147909967846,49.542295567743366
india,short_term_reversal,2,tuned,none,none,none,none,-2.839346108869989,-0.0092501073677475,-0.01312885984626889,-0.09819338559169605,-28.915859166690193,-5.554901798516953,480.0,99.4311377245509,0.5121780917566765
