market,strategy,years,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Fee Commission,hold,variant,sharpe_num,sharpe
india,turtle_breakout,1,"100,000.00","91,260.96",-8.74%,-1.37%,-8.84%,+14.99%,-0.542,-0.708,-0.37,+29.34%,+29.34%,-23.91%,+33.33%,-8.03%,0.624,+69.24%,-0.46%,66,59,-3.21%,-1.30%,+33.81%,-19.83%,0.695,-1.30%,22,44,53,+35.85%,-1.20%,12.0,+16.67%,-4.67%,1.0,+100.00%,+33.81%,"1,411.52","1,268.60",95.69,37.68,1.27,7.01,1.27,+1.41%,-16.15%,,250,regime,,-0.542
india,turtle_breakout,3,"100,000.00","107,503.29",+7.50%,+0.33%,+2.49%,+15.90%,0.235,0.315,0.067,+65.54%,+65.54%,-36.98%,+36.84%,-1.36%,0.586,+82.43%,+25.92%,228,162,-2.03%,+0.33%,+57.87%,-38.91%,1.073,+0.33%,84,144,179,+40.22%,+1.56%,46.0,+23.91%,-4.73%,3.0,+33.33%,+4.84%,"5,076.47","4,565.09",341.44,135.58,4.57,25.23,4.57,+5.08%,+67.66%,,250,regime,,0.235
india,turtle_breakout,5,"100,000.00","142,815.54",+42.82%,+1.08%,+7.53%,+15.29%,0.552,0.766,0.25,+88.73%,+88.73%,-30.12%,+36.11%,+3.31%,0.565,+84.44%,+49.54%,396,227,-2.49%,+1.08%,+179.91%,-38.91%,1.243,+1.08%,143,253,299,+37.79%,+1.88%,91.0,+31.87%,-1.46%,6.0,+16.67%,+0.07%,"8,822.97","7,936.20",591.34,235.71,7.94,43.86,7.94,+8.82%,+20.61%,,250,regime,,0.552
india,vwap_reversion,1,"100,000.00","86,576.02",-13.42%,-0.74%,-13.57%,+10.78%,-1.299,-1.763,-0.791,+10.09%,+10.09%,-17.17%,+55.49%,-13.20%,0.384,+48.48%,-0.46%,182,121,+0.61%,-0.74%,+8.80%,-22.60%,0.622,-0.74%,101,81,170,+55.29%,-0.84%,11.0,+63.64%,+1.12%,1.0,+0.00%,-4.36%,"3,994.52","3,590.83",270.02,106.65,3.59,19.84,3.59,+3.99%,-29.76%,,20,regime,,-1.299
india,vwap_reversion,3,"100,000.00","84,442.84",-15.56%,-0.34%,-5.60%,+10.04%,-0.523,-0.687,-0.231,+18.18%,+18.18%,-24.28%,+55.13%,-7.86%,0.337,+39.97%,+25.92%,468,137,+0.40%,-0.31%,+17.02%,-31.79%,0.799,-0.31%,258,210,446,+54.48%,-0.36%,22.0,+68.18%,+0.84%,,,,"10,228.86","9,196.38",690.13,273.13,9.2,50.82,9.2,+10.23%,-65.75%,,20,regime,,-0.523
india,vwap_reversion,5,"100,000.00","97,751.78",-2.25%,-0.03%,-0.46%,+9.01%,-0.006,-0.009,-0.026,+49.45%,+49.45%,-18.01%,+56.68%,-2.32%,0.25,+32.69%,+49.54%,651,156,+0.51%,-0.04%,+18.33%,-21.07%,0.978,-0.04%,369,281,572,+55.07%,-0.19%,78.0,+69.23%,+1.10%,1.0,+0.00%,-2.54%,"14,355.00","12,907.37",967.14,383.35,12.91,71.33,12.91,+14.36%,-638.51%,,20,regime,,-0.006
india,momentum_quality_pe,3,"100,000.00","147,837.81",+47.84%,+14.50%,+14.24%,+7.04%,1.927,3.043,2.378,+99.93%,+99.93%,-5.99%,+63.64%,+12.28%,0.227,+28.50%,+25.92%,33,24,+8.67%,+14.50%,+96.95%,-26.15%,4.765,+14.50%,21,12,27,+59.26%,+12.44%,6.0,+83.33%,+23.75%,,,,783.63,707.84,49.44,21.02,0.71,3.91,0.71,+0.78%,+1.64%,,63,regime,1.927,1.927
india,momentum_quality_pb,3,"100,000.00","130,584.53",+30.58%,+27.80%,+9.51%,+5.36%,1.723,2.594,2.461,+99.58%,+99.58%,-3.87%,+72.73%,+8.32%,0.143,+9.50%,+25.92%,11,11,+10.72%,+27.80%,+96.95%,-14.03%,12.404,+27.80%,8,3,10,+70.00%,+22.21%,1.0,+100.00%,+83.74%,,,,276.41,250.60,16.48,7.44,0.25,1.38,0.25,+0.28%,+0.90%,,63,regime,1.723,1.723
india,momentum_quality_pe,5,"100,000.00","165,865.16",+65.87%,+10.66%,+10.86%,+9.42%,1.142,1.683,0.445,+99.38%,+99.38%,-24.39%,+57.14%,+8.51%,0.282,+32.57%,+49.54%,63,41,+8.67%,+10.75%,+109.90%,-51.06%,2.754,+10.75%,36,27,45,+46.67%,+4.35%,17.0,+88.24%,+28.66%,1.0,+0.00%,-5.40%,"1,442.25","1,301.26",92.55,38.65,1.3,7.19,1.3,+1.44%,+2.19%,,63,regime,1.142,1.142
india,momentum_quality_pb,5,"100,000.00","129,743.99",+29.74%,+11.90%,+5.45%,+7.12%,0.781,1.097,0.314,+95.44%,+95.44%,-17.37%,+56.00%,+3.99%,0.18,+12.92%,+49.54%,25,22,+9.80%,+11.90%,+96.95%,-51.06%,2.363,+11.90%,14,11,22,+50.00%,+5.23%,3.0,+100.00%,+60.82%,,,,586.91,529.74,37.46,15.73,0.53,2.93,0.53,+0.59%,+1.97%,,63,regime,0.781,0.781
india,momentum_quality_pe60,3,"100,000.00","150,791.92",+50.79%,+13.02%,+15.01%,+7.28%,1.958,3.061,3.02,+99.94%,+99.94%,-4.97%,+64.10%,+12.88%,0.245,+33.68%,+25.92%,39,26,+8.14%,+13.02%,+96.95%,-26.15%,4.606,+13.02%,25,14,32,+59.38%,+11.29%,7.0,+85.71%,+20.93%,,,,920.14,830.79,58.43,24.67,0.83,4.59,0.83,+0.92%,+1.81%,,63,regime,1.958,1.958
india,momentum_quality_pe,3,"100,000.00","139,864.84",+39.86%,+14.50%,+12.10%,+6.07%,1.912,3.01,2.311,+99.92%,+99.92%,-5.24%,+63.64%,+10.41%,0.196,+23.75%,+25.92%,33,24,+8.67%,+14.50%,+96.95%,-26.15%,4.765,+14.50%,21,12,27,+59.26%,+12.44%,6.0,+83.33%,+23.75%,,,,653.03,589.87,41.20,17.52,0.59,3.26,0.59,+0.65%,+1.64%,,63,regime_top12,1.912,1.912
india,momentum_quality_pe,3,"100,000.00","131,891.87",+31.89%,+14.50%,+9.89%,+5.04%,1.895,2.974,2.242,+99.91%,+99.91%,-4.41%,+63.64%,+8.47%,0.163,+19.00%,+25.92%,33,24,+8.67%,+14.50%,+96.95%,-26.15%,4.765,+14.50%,21,12,27,+59.26%,+12.44%,6.0,+83.33%,+23.75%,,,,522.42,471.89,32.96,14.02,0.47,2.61,0.47,+0.52%,+1.64%,,63,regime_top15,1.895,1.895
india,momentum_quality_pe40,3,"100,000.00","141,538.44",+41.54%,+15.98%,+12.56%,+6.56%,1.836,2.839,2.723,+99.84%,+99.84%,-4.61%,+61.54%,+10.74%,0.212,+22.46%,+25.92%,26,22,+9.24%,+15.98%,+96.95%,-26.15%,5.024,+15.98%,16,10,23,+60.87%,+14.06%,3.0,+66.67%,+30.65%,,,,621.40,561.54,38.95,16.68,0.56,3.1,0.56,+0.62%,+1.50%,,63,regime,1.836,1.836
india,momentum_quality_pe,3,"100,000.00","146,133.23",+46.13%,+10.48%,+13.79%,+7.33%,1.799,2.732,1.776,+99.84%,+99.84%,-7.76%,+54.55%,+11.73%,0.24,+27.60%,+25.92%,44,24,+5.42%,+10.48%,+96.95%,-12.81%,3.212,+10.48%,24,20,35,+54.29%,+9.78%,9.0,+55.56%,+13.24%,,,,"1,026.51",926.12,65.92,27.51,0.93,5.12,0.93,+1.03%,+2.23%,,63,regime_stop10,1.799,1.799
india,momentum_quality_pe,3,"100,000.00","138,444.36",+38.44%,+10.48%,+11.71%,+6.32%,1.784,2.701,1.723,+99.82%,+99.82%,-6.80%,+54.55%,+9.93%,0.207,+23.00%,+25.92%,44,24,+5.42%,+10.48%,+96.95%,-12.81%,3.212,+10.48%,24,20,35,+54.29%,+9.78%,9.0,+55.56%,+13.24%,,,,855.43,771.76,54.93,22.92,0.77,4.26,0.77,+0.86%,+2.23%,,63,regime_top12_stop10,1.784,1.784
