market,strategy,years,hold,variant,Sharpe,CAGR,Total Return,Max Drawdown,Hit Rate,Trades,Benchmark Return,Alpha (ann.),Beta,Volatility (ann.),Final Equity,Total Fees
india,rs_trend,5,126,regime_bull_pullback,1.342,+24.44%,+192.48%,-25.77%,+64.44%,90,+49.54%,+19.13%,0.643,+17.44%,"292,483.21","2,201.56"
india,mom_lowvol_combo,5,63,regime_bull_pullback,1.227,+13.67%,+87.56%,-15.64%,+57.06%,170,+49.54%,+8.72%,0.552,+10.94%,"187,560.92","3,871.92"
india,nifty_momentum_trend,3,126,base,1.155,+20.87%,+74.45%,-16.65%,+61.67%,60,+25.92%,+14.96%,0.757,+17.80%,"174,454.52","1,411.78"
india,momentum_quality_pe60,5,63,base,1.153,+12.23%,+76.08%,-25.44%,+62.35%,85,+48.05%,+9.26%,0.361,+10.49%,"176,082.75","1,937.59"
india,nifty_momentum,5,126,regime_bull_pullback,1.153,+19.99%,+144.66%,-24.30%,+58.89%,90,+49.54%,+14.12%,0.708,+17.08%,"244,660.64","2,151.91"
india,momentum_quality_pe,5,63,regime,1.142,+10.86%,+65.87%,-24.39%,+57.14%,63,+49.54%,+8.51%,0.282,+9.42%,"165,865.16","1,442.25"
india,nifty_momentum_trend,5,126,base,1.055,+18.86%,+133.51%,-28.74%,+64.00%,100,+49.54%,+12.58%,0.77,+17.91%,"233,513.58","2,348.31"
india,vwap_trend,5,63,base,0.915,+13.25%,+84.19%,-18.81%,+57.43%,202,+49.54%,+6.47%,0.795,+14.80%,"184,192.55","4,580.14"
india,quality_mom_lowvol,5,63,regime,0.898,+9.33%,+54.95%,-25.79%,+58.02%,81,+49.54%,+6.54%,0.344,+10.55%,"154,948.83","1,829.36"
india,vwap_trend,3,63,base,0.89,+14.46%,+48.69%,-25.04%,+49.21%,126,+25.92%,+7.44%,0.888,+16.76%,"148,691.84","2,848.95"
india,momentum_quality_pe60,2,63,base,0.878,+10.02%,+20.78%,-10.02%,+69.23%,39,+0.51%,+10.26%,0.418,+11.66%,"120,775.62",888.98
india,momentum_quality_pb,5,63,regime,0.781,+5.45%,+29.74%,-17.37%,+56.00%,25,+49.54%,+3.99%,0.18,+7.12%,"129,743.99",586.91
india,momentum_quality_pe,2,63,base,0.757,+8.38%,+17.23%,-9.92%,+69.70%,33,+0.51%,+8.62%,0.396,+11.50%,"117,231.04",751.85
india,chandelier_breakout,1,250,base,0.73,+12.44%,+12.28%,-13.21%,+41.51%,106,-0.46%,+14.05%,0.702,+18.40%,"112,284.69","2,276.91"
india,supertrend_expr,3,250,regime,0.723,+11.04%,+36.02%,-19.32%,+41.21%,182,+25.92%,+6.16%,0.67,+16.37%,"136,020.28","4,080.16"
india,vwap_trend,1,63,base,0.672,+11.99%,+11.84%,-20.06%,+46.00%,50,-0.46%,+13.75%,1.03,+19.78%,"111,841.67","1,105.73"
india,momentum_quality_pe,1,63,base,0.558,+6.49%,+6.38%,-10.86%,+77.78%,18,-0.06%,+7.06%,0.364,+12.75%,"106,384.11",406.97
india,turtle_breakout,5,250,regime,0.552,+7.53%,+42.82%,-30.12%,+36.11%,396,+49.54%,+3.31%,0.565,+15.29%,"142,815.54","8,822.97"
india,momentum_quality_pe60,1,63,base,0.542,+6.15%,+6.05%,-11.31%,+71.43%,21,-0.06%,+6.69%,0.353,+12.47%,"106,051.80",472.74
india,supertrend_expr,5,250,regime,0.519,+7.66%,+43.68%,-31.41%,+34.55%,330,+49.54%,+2.16%,0.734,+17.07%,"143,684.70","7,191.66"
india,low_volatility,5,63,regime_bull_pullback,0.359,+3.06%,+15.94%,-23.78%,+51.18%,170,+49.54%,-0.86%,0.475,+9.70%,"115,943.93","3,759.04"
india,chandelier_breakout,5,250,base,0.298,+3.83%,+20.29%,-35.44%,+36.97%,541,+49.54%,-1.36%,0.744,+18.26%,"120,288.66","11,714.78"
india,momentum_quality,1,126,base,0.281,+3.31%,+3.27%,-11.38%,+55.56%,18,-0.46%,+4.45%,0.722,+16.53%,"103,266.71",399.09
india,chandelier_breakout,3,250,base,0.243,+2.80%,+8.45%,-34.91%,+38.25%,332,+25.92%,-2.45%,0.799,+18.51%,"108,452.44","7,200.25"
india,turtle_breakout,3,250,regime,0.235,+2.49%,+7.50%,-36.98%,+36.84%,228,+25.92%,-1.36%,0.586,+15.90%,"107,503.29","5,076.47"
india,low_volatility,3,63,regime_bull_pullback,0.207,+1.52%,+4.54%,-24.45%,+50.00%,100,+25.92%,-2.54%,0.52,+9.50%,"104,543.88","2,228.84"
india,nifty_momentum_trend,2,126,base,0.149,+0.47%,+0.92%,-27.76%,+45.00%,40,+0.51%,+2.42%,1.345,+26.23%,"100,922.28",880.19
india,momentum_quality,2,126,base,0.111,+0.38%,+0.74%,-24.68%,+47.37%,38,+0.51%,+1.06%,0.853,+18.07%,"100,743.11",779.72
india,quality_mom_lowvol,1,63,regime,0.041,+0.07%,+0.07%,-6.68%,+50.00%,8,-0.46%,+0.22%,0.05,+5.83%,"100,068.98",178.00
india,vwap_reversion,5,20,regime,-0.006,-0.46%,-2.25%,-18.01%,+56.68%,651,+49.54%,-2.32%,0.25,+9.01%,"97,751.78","14,355.00"
india,nifty_momentum,2,126,base,-0.038,-4.37%,-8.44%,-30.21%,+47.50%,40,+0.51%,-2.30%,1.172,+26.21%,"91,555.42",838.64
india,rs_trend,2,63,base,-0.173,-9.19%,-17.34%,-27.42%,+36.25%,80,+0.51%,-6.37%,1.264,+29.85%,"82,661.50","1,596.01"
india,nifty_momentum,1,126,base,-0.208,-7.22%,-7.14%,-19.86%,+40.00%,20,-0.46%,-5.22%,1.361,+23.12%,"92,862.23",434.85
india,chandelier_breakout,2,250,base,-0.263,-6.80%,-13.00%,-33.48%,+32.74%,223,+0.51%,-5.85%,0.8,+19.53%,"87,000.56","3,952.79"
india,vwap_trend,2,63,base,-0.306,-8.40%,-15.91%,-29.16%,+40.96%,83,+0.51%,-7.45%,1.11,+21.26%,"84,085.03","1,658.24"
india,nifty_momentum_trend,1,126,base,-0.502,-13.36%,-13.21%,-28.17%,+35.00%,20,-0.46%,-11.49%,1.392,+23.18%,"86,789.63",406.55
india,vwap_reversion,3,20,regime,-0.523,-5.60%,-15.56%,-24.28%,+55.13%,468,+25.92%,-7.86%,0.337,+10.04%,"84,442.84","10,228.86"
india,supertrend_expr,1,250,regime,-0.535,-10.38%,-10.26%,-26.44%,+29.03%,62,-0.46%,-9.21%,0.636,+17.59%,"89,735.38","1,334.59"
india,turtle_breakout,1,250,regime,-0.542,-8.84%,-8.74%,-23.91%,+33.33%,66,-0.46%,-8.03%,0.624,+14.99%,"91,260.96","1,411.52"
india,rs_trend,1,63,base,-0.621,-17.78%,-17.59%,-25.48%,+32.50%,40,-0.46%,-15.29%,1.104,+25.99%,"82,409.72",788.58
india,connors_rsi2_bull,5,20,regime_bull_pullback,-0.715,-12.29%,-47.47%,-52.53%,+54.92%,"1,819",+49.54%,-16.44%,0.677,+16.43%,"52,527.13","35,075.85"
india,connors_rsi2_bull,3,20,regime_bull_pullback,-1.073,-16.76%,-41.65%,-44.61%,+54.26%,"1,032",+25.92%,-20.29%,0.642,+15.90%,"58,352.89","20,826.85"
india,vwap_reversion,1,20,regime,-1.299,-13.57%,-13.42%,-17.17%,+55.49%,182,-0.46%,-13.20%,0.384,+10.78%,"86,576.02","3,994.52"
india,connors_rsi2_bull,1,20,regime_bull_pullback,-1.582,-19.38%,-19.18%,-23.22%,+55.17%,261,-0.46%,-18.84%,0.485,+13.07%,"80,824.01","5,711.46"
us,rs_trend,2,63,base,2.809,+86.84%,+245.63%,-20.29%,+67.50%,80,+47.89%,+57.87%,0.927,+23.24%,"345,632.52",184.57
us,rs_trend,1,63,base,2.338,+110.62%,+110.00%,-19.86%,+65.00%,40,+22.50%,+54.98%,1.73,+34.44%,"210,000.25",91.00
us,rs_trend,3,63,base,1.954,+56.60%,+279.99%,-23.07%,+64.17%,120,+78.46%,+28.48%,1.105,+24.51%,"379,988.67",268.00
us,nifty_momentum_trend,2,126,base,1.862,+64.08%,+167.10%,-24.19%,+80.00%,40,+47.89%,+35.63%,1.101,+28.85%,"267,098.61",96.71
us,nifty_momentum,3,126,base,1.637,+43.11%,+190.58%,-22.44%,+78.33%,60,+78.46%,+19.87%,0.994,+23.61%,"290,579.51",139.06
us,nifty_momentum_trend,3,126,base,1.562,+40.27%,+173.80%,-22.58%,+76.67%,60,+78.46%,+17.81%,0.979,+23.45%,"273,797.81",137.38
us,vwap_trend,2,63,base,1.5,+40.48%,+96.28%,-26.08%,+59.76%,82,+47.89%,+12.23%,1.209,+24.70%,"196,282.45",173.63
us,vwap_trend,1,63,base,1.421,+47.65%,+47.42%,-17.87%,+57.14%,42,+22.50%,+3.52%,1.899,+30.78%,"147,421.73",88.74
us,chandelier_breakout,1,250,base,1.408,+41.26%,+41.06%,-13.22%,+40.00%,125,+22.50%,+20.72%,0.915,+27.16%,"141,064.98",251.74
us,nifty_momentum,1,126,base,1.343,+70.19%,+69.83%,-34.95%,+85.00%,20,+22.50%,+18.07%,2.277,+48.32%,"169,826.77",46.98
us,nifty_momentum,2,126,base,1.338,+45.06%,+109.17%,-28.38%,+77.50%,40,+47.90%,+19.30%,1.163,+31.55%,"209,172.15",90.92
us,vwap_trend,3,63,base,1.261,+29.22%,+114.45%,-20.85%,+60.31%,131,+78.46%,+5.21%,1.116,+22.31%,"214,454.65",271.08
us,nifty_momentum,5,126,base,1.244,+28.12%,+242.79%,-20.08%,+70.00%,100,+85.20%,+17.70%,0.783,+21.84%,"342,792.62",224.06
us,nifty_momentum_trend,5,126,base,1.244,+28.12%,+242.79%,-20.08%,+70.00%,100,+85.20%,+17.70%,0.783,+21.84%,"342,792.62",224.06
us,rs_trend,5,63,base,1.185,+30.56%,+276.52%,-25.99%,+59.50%,200,+85.20%,+18.51%,0.928,+25.20%,"376,518.01",425.14
us,nifty_momentum_trend,1,126,base,1.136,+50.38%,+50.14%,-30.83%,+85.00%,20,+22.50%,+5.99%,2.124,+44.78%,"150,140.92",45.01
us,chandelier_breakout,2,250,base,1.048,+23.15%,+51.15%,-20.27%,+40.87%,208,+47.89%,+11.59%,0.584,+22.23%,"151,147.22",419.38
us,chandelier_breakout,3,250,base,0.994,+18.22%,+64.57%,-20.05%,+43.18%,308,+78.46%,+6.56%,0.587,+18.57%,"164,574.49",618.63
us,vwap_trend,5,63,base,0.764,+16.67%,+115.27%,-39.02%,+53.14%,207,+85.20%,+2.92%,1.111,+23.94%,"215,274.87",400.82
us,momentum_quality,5,126,base,0.745,+12.25%,+77.63%,-18.23%,+56.57%,99,+85.20%,+2.53%,0.765,+17.59%,"177,628.36",204.64
us,momentum_quality,3,126,base,0.727,+10.49%,+34.56%,-17.51%,+55.93%,59,+78.46%,-5.30%,0.804,+15.35%,"134,557.59",121.46
us,chandelier_breakout,5,250,base,0.641,+10.77%,+66.31%,-26.67%,+40.08%,489,+85.20%,+3.60%,0.609,+18.70%,"166,312.60",942.83
us,momentum_quality,2,126,base,0.57,+9.60%,+19.95%,-23.28%,+53.85%,39,+47.89%,-8.54%,0.945,+19.37%,"119,945.60",78.61
us,momentum_quality,1,126,base,-0.018,-2.07%,-2.06%,-20.73%,+45.00%,20,+22.50%,-21.03%,1.097,+18.73%,"97,938.44",38.08
