market,strategy,years,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Fee Commission
us,chandelier_breakout,3,"100,000.00","164,574.49",+64.57%,+2.11%,+18.22%,+18.57%,+0.994,+1.465,+0.909,+95.60%,+95.60%,-20.05%,+43.18%,+6.56%,+0.587,+98.81%,+78.46%,308,170,-1.39%,+2.16%,+157.37%,-22.04%,+1.617,+2.16%,133,175,261,+44.06%,+1.71%,44,+38.64%,+5.15%,3,+33.33%,-2.92%,618.63,,,,,,,+0.62%,+0.96%,618.63
us,chandelier_breakout,5,"100,000.00","166,312.60",+66.31%,+1.42%,+10.77%,+18.70%,+0.641,+0.931,+0.404,+92.32%,+92.32%,-26.67%,+40.08%,+3.60%,+0.609,+97.51%,+85.20%,489,219,-1.80%,+1.39%,+157.37%,-36.38%,+1.394,+1.39%,196,288,352,+41.76%,+1.52%,64,+42.19%,+5.07%,73,+30.14%,-2.46%,942.83,,,,,,,+0.94%,+1.42%,942.83
us,momentum_quality,1,"100,000.00","97,938.44",-2.06%,-1.08%,-2.07%,+18.73%,-0.018,-0.025,-0.100,+49.29%,+49.29%,-20.73%,+45.00%,-21.03%,+1.097,+95.87%,+22.50%,20,18,-3.75%,-0.73%,+59.70%,-46.64%,+0.908,-0.73%,9,11,19,+47.37%,-0.61%,1,+0.00%,-2.90%,,,,38.08,,,,,,,+0.04%,-1.85%,38.08
us,momentum_quality,2,"100,000.00","119,945.60",+19.95%,+5.21%,+9.60%,+19.37%,+0.570,+0.831,+0.412,+78.99%,+78.99%,-23.28%,+53.85%,-8.54%,+0.945,+92.81%,+47.89%,39,32,+3.85%,+5.16%,+73.27%,-39.92%,+2.024,+5.16%,21,18,33,+54.55%,+5.99%,5,+60.00%,+1.32%,1,+0.00%,-3.10%,78.61,,,,,,,+0.08%,+0.39%,78.61
us,momentum_quality,3,"100,000.00","134,557.59",+34.56%,+5.86%,+10.49%,+15.35%,+0.727,+1.054,+0.599,+89.51%,+89.51%,-17.51%,+55.93%,-5.30%,+0.804,+96.40%,+78.46%,59,40,+1.44%,+5.86%,+103.54%,-39.92%,+2.128,+5.86%,33,26,55,+56.36%,+5.64%,4,+50.00%,+8.84%,,,,121.46,,,,,,,+0.12%,+0.35%,121.46
us,momentum_quality,5,"100,000.00","177,628.36",+77.63%,+7.89%,+12.25%,+17.59%,+0.745,+1.054,+0.672,+95.04%,+95.04%,-18.23%,+56.57%,+2.53%,+0.765,+97.80%,+85.20%,99,63,+2.55%,+7.87%,+106.18%,-60.24%,+2.563,+7.87%,56,43,74,+60.81%,+7.85%,14,+50.00%,+9.76%,11,+36.36%,+5.60%,204.64,,,,,,,+0.20%,+0.26%,204.64
us,nifty_momentum,1,"100,000.00","169,826.77",+69.83%,+34.91%,+70.19%,+48.32%,+1.343,+1.962,+2.008,+90.87%,+90.87%,-34.95%,+85.00%,+18.07%,+2.277,+98.37%,+22.50%,20,20,+29.19%,+34.91%,+112.27%,-31.95%,+13.399,+34.91%,17,3,20,+85.00%,+34.91%,,,,,,,46.98,,,,,,,+0.05%,+0.07%,46.98
us,nifty_momentum,2,"100,000.00","209,172.15",+109.17%,+27.29%,+45.06%,+31.55%,+1.338,+1.918,+1.587,+96.85%,+96.85%,-28.38%,+77.50%,+19.30%,+1.163,+99.38%,+47.90%,40,37,+17.63%,+27.29%,+113.39%,-31.74%,+10.366,+27.29%,31,9,40,+77.50%,+27.29%,,,,,,,90.92,,,,,,,+0.09%,+0.08%,90.92
us,nifty_momentum,3,"100,000.00","290,579.51",+190.58%,+31.76%,+43.11%,+23.61%,+1.637,+2.397,+1.921,+99.73%,+99.73%,-22.44%,+78.33%,+19.87%,+0.994,+99.72%,+78.46%,60,49,+19.19%,+31.76%,+280.70%,-40.42%,+11.813,+31.76%,47,13,60,+78.33%,+31.76%,,,,,,,139.06,,,,,,,+0.14%,+0.07%,139.06
us,nifty_momentum,5,"100,000.00","342,792.62",+242.79%,+24.31%,+28.12%,+21.84%,+1.244,+1.831,+1.401,+99.72%,+99.72%,-20.08%,+70.00%,+17.70%,+0.783,+99.91%,+85.20%,100,90,+10.98%,+24.29%,+431.78%,-34.71%,+7.919,+24.29%,70,30,80,+72.50%,+29.16%,10,+100.00%,+14.03%,10,+20.00%,-4.40%,224.06,,,,,,,+0.22%,+0.09%,224.06
